t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
8080,0,0,977,404,530,0,1.95,-1.22,0.99,-2.63,-1.15,3.16
8100,0,1,1328,878,482,2,0.34,-3.04,-0.82,-3.70,-0.99,3.21
8120,0,0,1265,952,463,7,3.16,-4.45,-0.15,-3.39,-1.17,2.27
8140,0,0,1330,1068,3,2,5.21,-7.03,0.18,-2.16,-0.36,2.16
8160,0,3,1376,1053,2,2,4.13,-4.69,-0.66,-1.64,0.05,1.69
8180,0,0,1402,928,2,23,4.17,-5.03,-0.12,-0.48,-0.43,1.53
8200,0,1,1357,892,3,8,3.80,-5.63,0.54,-0.39,-0.61,1.21
8220,0,1,1478,834,0,1,4.32,-6.05,0.42,-0.88,-0.73,0.87
8240,0,5,1228,861,4,1,4.70,-5.82,2.44,-1.11,-0.37,0.48
8260,0,2,1350,468,15,11,4.57,-7.98,0.57,-1.46,0.11,-0.32
8280,0,3,1351,344,2,0,3.57,-8.88,0.32,-1.63,1.01,-0.18
8300,0,2,1364,241,0,2,1.77,-7.83,-0.41,-0.84,1.42,-0.15
8320,0,1,1499,199,0,5,4.26,-6.25,0.43,-0.30,0.52,-0.61
8340,0,0,1493,249,0,0,5.26,-6.21,0.20,0.61,-0.13,-0.65
8360,0,0,1563,400,4,0,4.09,-6.80,0.60,1.26,-0.13,-0.97
8380,0,0,1541,413,0,6,2.61,-7.97,0.11,1.15,0.32,-1.44
8400,0,0,1540,186,0,2,1.13,-8.35,-0.81,0.78,0.88,-2.21
8420,0,2,1530,176,9,5,-0.18,-7.74,-1.43,0.53,1.30,-3.01
8440,0,0,1456,13,0,2,-0.60,-7.06,-2.05,0.50,1.72,-3.67
8460,0,0,744,0,6,4,-1.53,-6.07,-2.41,0.74,1.63,-4.37
8480,0,888,4,1,2,0,-1.93,-4.20,-1.49,1.41,1.88,-4.37
8500,0,1363,0,6,1,1,-3.17,-3.46,-1.34,1.90,2.02,-4.37
8520,0,1353,2,1,0,2,-4.21,-1.92,-1.33,3.03,1.56,-4.37
8540,0,1356,1358,8,0,1236,-4.22,0.67,1.13,2.54,0.88,-4.37
8560,0,1323,2225,558,0,2085,-5.05,4.13,4.15,2.40,0.71,-4.37
